Model,Fold,Accuracy,Precision,Recall,F1
Logistic Regression,1,1.0,1.0,1.0,1.0
Logistic Regression,2,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
Logistic Regression,3,0.9166666666666666,1.0,0.9090909090909091,0.9523809523809523
SVM,1,0.9230769230769231,0.9230769230769231,1.0,0.96
SVM,2,0.9230769230769231,0.9230769230769231,1.0,0.96
SVM,3,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348
KNN,1,1.0,1.0,1.0,1.0
KNN,2,0.9230769230769231,1.0,0.9166666666666666,0.9565217391304348
KNN,3,0.9166666666666666,1.0,0.9090909090909091,0.9523809523809523
Decision Tree,1,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
Decision Tree,2,0.9230769230769231,1.0,0.9166666666666666,0.9565217391304348
Decision Tree,3,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348
Random Forest,1,1.0,1.0,1.0,1.0
Random Forest,2,0.9230769230769231,0.9230769230769231,1.0,0.96
Random Forest,3,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348
XGBoost,1,0.9230769230769231,0.9230769230769231,1.0,0.96
XGBoost,2,0.9230769230769231,1.0,0.9166666666666666,0.9565217391304348
XGBoost,3,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348
