bird_id,event_id,start_lat,start_lon,end_lat,end_lon,displacement_km,total_distance_km,route_tortuosity,max_dist_from_breeding_km,bearing_mean,bearing_std,duration_days,start_month,end_month,start_doy,end_doy,avg_daily_distance_km,movement_hour_mode,avg_speed_ms,max_speed_ms,speed_std,n_gps_fixes,fix_rate_per_day,heading_consistency,avg_temperature,temp_std,min_temperature,max_temperature,avg_battery_v,min_battery_v,battery_depletion_rate,avg_horiz_accuracy,avg_time_to_fix,avg_altitude_m,max_altitude_m,min_altitude_m,altitude_range_m,altitude_std,n_rest_stops,avg_rest_duration_hrs,movement_consistency_ratio,long_flight_segments,max_consecutive_movement_hrs,Migration_Success
GREG_1,0,37.9770895,-122.3917833,38.238716,-122.5280248,31.438987027313303,5832.854245645,185.52933148188208,377.66599618524197,22.635984709642617,114.54436215242758,262.45140046296297,9,6,272,169,22.22451179668264,2.0,0.6693996131735883,27.2,1.7499170689472372,74452,283.679187341607,0.3341667799611851,20.645919518616022,10.109204613743008,-3.0,59.0,3983.9039649707192,3833.0,0.04953298011391086,7.9293955837318,7.063692043195616,9.64976360608177,4352.9,-1082.2,5435.099999999999,47.12405408846151,7827,3.573655295771049,0.24333798957717725,1915,16.0,1
GREG_1,1,38.1329212,-122.4126285,35.9697886,-119.9307112,326.11134707361396,3501.2390011412326,10.736329884132761,381.28881493246456,22.130500888567017,114.03220941130125,139.8954861111111,8,1,243,17,25.027533757310767,15.0,0.6933605236656596,21.47,1.7808109095547007,39720,283.92624454267695,0.31781568342723376,20.06027190332326,10.593733464996939,-2.0,57.0,3975.3663141993957,3870.0,0.7505603141233907,7.976682779456194,7.197532729103726,31.576382175226584,1062.9,-738.4,1801.3000000000002,49.89103307208106,4225,3.49905325443787,0.25085599194360525,1045,21.5,1
GREG_10,0,37.964628,-122.3977636,37.8176088,-122.5275913,19.925973355547438,9151.170759339646,459.2584059032649,1513.4766594143778,35.17446211665226,104.93879749397115,249.15277777777777,10,6,276,160,36.72915405944894,3.0,0.8581493899737082,29.27,2.340866800848771,67713,271.7730085289035,0.35301138729561454,7.445245339871791,9.645573974755244,-22.0,48.0,3946.899841980122,3830.0,-0.22877529405206534,9.527674662491505,6.999926146938052,816.0823845676641,13918.5,-1028.8,14947.3,482.71383911514755,7059,3.5046040515653774,0.26398180556170897,2092,78.5,1
GREG_10,1,38.0259298,-122.3604974,37.7818042,-122.4902089,29.43461301895347,2050.117673667388,69.64989389693287,449.59470928676524,25.497168866750904,108.90335953430814,62.01040509259259,10,12,281,343,33.06086568223827,10.0,0.7460023224544676,23.32,2.129354440631545,16365,263.90732290111856,0.3552789036032642,8.29256814570346,8.984507702809841,-14.0,45.0,3953.65377329667,3848.0,1.483621980256823,8.520374037403739,6.557755775577558,58.41128835105733,1598.9,-959.8,2558.7,57.944168009052696,1457,4.379890185312285,0.21564314084937367,394,24.5,1
GREG_11,0,38.0629957,-122.3994822,38.1441487,-122.4154,9.130655158371761,572.8186171715388,62.73576290375286,103.27614338094035,13.188284766927692,119.90934079144341,27.34025462962963,3,4,86,113,20.9514733835271,13.0,0.6452086015967037,19.84,1.6249461593761407,7766,284.05002459573666,0.3913080727892863,15.635462271439609,8.280085681394592,2.0,47.0,3992.572495493175,3951.0,0.29260883295981116,10.113524336852949,7.3552665464846765,-27.447295905227918,2807.1,-639.1,3446.2,54.169018998097314,801,3.6647940074906367,0.23963430337368014,189,15.5,1
GREG_11,1,38.1127486,-122.4122224,38.119484,-122.4262571,1.4382044280854482,3429.680006974514,2384.6957636892676,101.82113050986264,16.925533007015115,113.53267515584162,262.9791435185185,7,4,209,107,13.041642622632551,2.0,0.48410731461887924,23.06,1.2224709167361856,67577,256.9671461236672,0.44014635219614856,17.43044231025349,8.885847644315497,-4.0,59.0,3979.4538230463027,3797.0,0.07224907551903276,9.956991727954778,7.968317622859849,-29.216003965846365,2102.2,-1026.1,3128.2999999999997,41.988998852669084,6588,4.067850637522769,0.2026281131154091,1258,11.5,1
GREG_11,2,38.2678172,-122.9834209,38.2437646,-122.9605909,3.3356952323476516,43.57252787590909,13.062502669119109,43.09861924482601,47.070319802281034,102.45591638496568,1.1180555555555556,5,5,149,150,38.971701951123656,14.0,0.999498432601881,15.36,2.479522372187822,319,285.3167701863354,0.29035577820135927,14.931034482758621,6.8198938460312,5.0,34.0,3991.360501567398,3972.0,-17.888198757763973,9.915109717868338,7.664576802507837,-5.641692789968651,143.9,-156.9,300.8,30.58978307494174,49,2.2551020408163267,0.30407523510971785,9,3.5,1
GREG_12,0,38.2410284,-122.4989936,37.8341409,-121.0636202,133.5991705358713,361.5369048305651,2.706131358304299,155.580387791542,32.503676901352584,104.98485950985088,10.21875,11,11,315,325,35.37975827088099,18.0,1.6542164948453606,14.85,3.2545978042495967,970,94.92354740061162,0.3860038459152529,21.582474226804123,5.552070994133312,9.0,42.0,3967.763917525773,3911.0,-2.2507645259938838,12.977422680412369,12.46701030927835,27.311752577319584,942.7,-143.9,1086.6000000000001,127.77885996798078,131,2.427480916030534,0.34123711340206186,38,16.5,0
GREG_13,0,38.5554817,-121.6149649,38.9148801,-121.5938015,40.00541512761793,2343.275014960525,58.57394573923153,140.7548302525975,18.355451212204645,104.40332921256262,248.1875347222222,8,4,219,102,9.441549985913587,1.0,0.6258132263275835,23.12,1.7071110368914457,19217,77.42935204827332,0.4811965588504979,27.55609984887175,8.120486458246718,12.0,65.0,3980.8958734453868,3927.0,-0.27398636307865876,11.51931575381729,12.8846735108656,-20.301042263796965,778.4,-550.9,1329.3,23.154698452158655,2189,3.445637277295569,0.2112712702294843,320,7.5,1
GREG_17,0,38.2871071,-122.6101945,38.4418705,-122.7633478,21.781690043922808,501.7746883345463,23.036536068721798,48.81210385759977,21.488766773940945,111.51424578805214,65.03819444444444,10,12,275,340,7.715077157671739,23.0,0.7299434409779237,16.51,1.5203322294950434,5484,84.31968394639902,0.3125052968600529,27.028461959496443,7.880558632963552,11.0,52.0,3977.0452224653536,3868.0,0.6919011264748278,17.165431490603904,16.316183178252142,60.74112388250319,1801.2,-1042.9,2844.1000000000004,75.57066972302344,909,2.0176017601760177,0.32476294675419404,144,10.5,1
